0.5	   1.4977e+02   1.8447e+02   6.5763e+01
1	   7.4831e+01   1.8854e+02   1.3663e+02
1.5	   5.9419e+01   1.5739e+02   1.8319e+02
2	   6.4766e+01   1.2960e+02   2.0564e+02
2.5	   7.5488e+01   1.1151e+02   2.1301e+02
3	   8.6031e+01   1.0133e+02   2.1264e+02
3.5	   9.4264e+01   9.6558e+01   2.0918e+02
4	   9.9591e+01   9.5194e+01   2.0522e+02
4.5	   1.0226e+02   9.5727e+01   2.0201e+02
5	   1.0298e+02   9.7052e+01   1.9996e+02
5.5	   1.0257e+02   9.8440e+01   1.9899e+02
6	   1.0171e+02   9.9506e+01   1.9878e+02
6.5	   1.0086e+02   1.0014e+02   1.9900e+02
7	   1.0024e+02   1.0041e+02   1.9935e+02
7.5	   9.9884e+01   1.0043e+02   1.9969e+02
8	   9.9746e+01   1.0033e+02   1.9993e+02
8.5	   9.9746e+01   1.0020e+02   2.0006e+02
9	   9.9811e+01   1.0008e+02   2.0010e+02
9.5	   9.9890e+01   1.0001e+02   2.0010e+02
10	   9.9956e+01   9.9972e+01   2.0007e+02
10.5	   9.9998e+01   9.9961e+01   2.0004e+02
11	   1.0002e+02   9.9966e+01   2.0002e+02
11.5	   1.0002e+02   9.9977e+01   2.0000e+02
12	   1.0002e+02   9.9988e+01   1.9999e+02
12.5	   1.0001e+02   9.9996e+01   1.9999e+02
13	   1.0001e+02   1.0000e+02   1.9999e+02
13.5	   1.0000e+02   1.0000e+02   2.0000e+02
14	   9.9999e+01   1.0000e+02   2.0000e+02
14.5	   9.9998e+01   1.0000e+02   2.0000e+02
15	   9.9998e+01   1.0000e+02   2.0000e+02
15.5	   9.9999e+01   1.0000e+02   2.0000e+02
16	   9.9999e+01   1.0000e+02   2.0000e+02
16.5	   1.0000e+02   1.0000e+02   2.0000e+02
17	   1.0000e+02   1.0000e+02   2.0000e+02
17.5	   1.0000e+02   1.0000e+02   2.0000e+02
18	   1.0000e+02   1.0000e+02   2.0000e+02
18.5	   1.0000e+02   1.0000e+02   2.0000e+02
19	   1.0000e+02   1.0000e+02   2.0000e+02
19.5	   1.0000e+02   1.0000e+02   2.0000e+02
20	   1.0000e+02   1.0000e+02   2.0000e+02
20.5	   1.0000e+02   1.0000e+02   2.0000e+02
21	   1.0000e+02   1.0000e+02   2.0000e+02
21.5	   1.0000e+02   1.0000e+02   2.0000e+02
22	   1.0000e+02   1.0000e+02   2.0000e+02
22.5	   1.0000e+02   1.0000e+02   2.0000e+02
23	   1.0000e+02   1.0000e+02   2.0000e+02
23.5	   1.0000e+02   1.0000e+02   2.0000e+02
24	   1.0000e+02   1.0000e+02   2.0000e+02
24.5	   1.0000e+02   1.0000e+02   2.0000e+02
25	   1.0000e+02   1.0000e+02   2.0000e+02
